                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.309,                 2.8764,                 2.7458,                  1.407,                0.38311,                0.32453,                0.31956,                0.18903,                0.37505,                0.32378,                 0.3094,                0.17097,                 1.4355,                 2.8902,                 2.8639,                 1.6012,             0.00047353,             0.00047353,             0.00047353
                      2,                 1.4276,                 2.7508,                 2.2674,                 1.5043,                0.41321,                0.35065,                0.32501,                0.16078,                0.35571,                0.38123,                0.30771,                0.14578,                 1.6239,                 3.2647,                 2.9398,                 1.7998,             0.00093106,             0.00093106,             0.00093106
                      3,                 1.4582,                 2.7708,                 2.0807,                 1.5223,                0.44759,                0.37157,                0.34834,                0.19319,                0.45026,                0.35849,                 0.3338,                0.17046,                 1.5745,                 3.2139,                 2.3168,                 1.7222,              0.0013697,              0.0013697,              0.0013697
                      4,                 1.4428,                 2.7225,                 1.9464,                 1.5029,                0.46527,                0.45478,                 0.4111,                 0.2381,                0.44801,                0.43899,                0.38472,                0.20972,                 1.5036,                 2.9063,                 2.0558,                 1.6741,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3907,                 2.6041,                 1.7551,                 1.4708,                0.50556,                0.45056,                0.44961,                0.26874,                0.49608,                0.44264,                0.42972,                0.23398,                 1.4041,                 2.7667,                 1.8516,                 1.5531,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3759,                  2.613,                 1.7317,                 1.4504,                0.47625,                0.49722,                0.46151,                0.28575,                0.44817,                0.49378,                0.43391,                0.23756,                 1.3661,                  2.711,                 1.8175,                 1.5201,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.363,                 2.5666,                 1.6529,                 1.4362,                0.49741,                0.46733,                0.45179,                0.27627,                0.49143,                0.45603,                0.43838,                 0.2327,                 1.4111,                 2.7369,                 1.8956,                 1.5111,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3101,                 2.4809,                 1.5806,                 1.4068,                0.54135,                0.52515,                0.52953,                0.33714,                0.52734,                0.51194,                 0.5015,                0.29304,                 1.3653,                 2.5926,                 1.6121,                  1.511,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2993,                 2.4827,                 1.5331,                 1.3985,                 0.5097,                0.54923,                0.52256,                0.33772,                0.51728,                 0.5161,                0.50127,                0.28452,                 1.3205,                 2.5631,                 1.6174,                 1.4746,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2659,                 2.4444,                 1.5008,                 1.3793,                0.53902,                0.50931,                0.49345,                0.31475,                0.52741,                0.49583,                0.47072,                0.27505,                 1.3347,                 2.6037,                 1.7933,                 1.4778,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2608,                 2.3686,                 1.4207,                  1.374,                0.56886,                0.55012,                0.52638,                0.34451,                0.56975,                0.52503,                0.50722,                0.30228,                 1.2786,                 2.5587,                 1.5251,                 1.4445,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2547,                 2.4001,                 1.4179,                 1.3678,                0.61664,                0.50672,                0.56363,                0.36357,                0.60713,                0.49858,                0.54159,                0.32423,                 1.2723,                 2.5022,                 1.4703,                  1.445,              0.0011178,              0.0011178,              0.0011178
                     13,                  1.235,                  2.379,                 1.3959,                 1.3524,                 0.5967,                0.58584,                0.57632,                0.38458,                0.58544,                0.57129,                0.55663,                0.33732,                 1.2536,                 2.4252,                 1.4384,                 1.4074,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2031,                 2.3024,                 1.3465,                 1.3382,                0.63465,                0.51656,                0.55311,                0.36739,                0.61731,                0.50021,                0.52754,                0.31997,                 1.2429,                 2.4464,                 1.5581,                 1.4121,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1965,                 2.3169,                  1.339,                 1.3263,                0.62282,                0.56044,                0.58527,                0.39746,                0.61595,                0.54495,                0.56785,                0.34654,                 1.2108,                 2.4214,                 1.4405,                 1.3926,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.182,                 2.2703,                 1.2891,                 1.3178,                0.67127,                0.58453,                0.60937,                0.41178,                0.64178,                0.57449,                0.58085,                0.35918,                 1.2128,                 2.3636,                 1.3523,                 1.4016,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1472,                  2.228,                 1.2477,                 1.2977,                0.62619,                0.56941,                0.59848,                0.40186,                0.61242,                0.54984,                0.57597,                0.35518,                 1.2291,                 2.3626,                 1.3771,                 1.3834,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1618,                 2.2487,                 1.2398,                 1.2999,                0.63045,                0.58435,                0.60832,                0.41895,                0.61178,                0.57391,                0.58162,                0.35672,                 1.1843,                 2.4039,                 1.3117,                  1.374,               0.000948,               0.000948,               0.000948
                     19,                 1.1553,                 2.2251,                 1.2205,                 1.2976,                0.63131,                0.55247,                0.58275,                 0.3873,                0.61848,                0.54359,                0.56555,                0.34165,                 1.2085,                 2.3437,                 1.5058,                 1.3729,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1361,                  2.196,                 1.1981,                 1.2944,                0.65577,                0.61112,                0.64249,                0.44961,                0.64286,                0.59378,                0.61424,                0.38774,                 1.1607,                  2.304,                 1.2506,                 1.3441,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.138,                 2.1949,                 1.1949,                 1.2946,                0.65608,                 0.6211,                0.64543,                0.45008,                0.64355,                0.60797,                0.62221,                0.39012,                 1.1606,                 2.2841,                 1.2317,                 1.3422,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.0907,                 2.1452,                 1.1413,                 1.2668,                0.65684,                0.62771,                0.64648,                0.44773,                0.64678,                0.61286,                0.62515,                0.39085,                 1.1535,                 2.3152,                 1.2576,                 1.3539,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1018,                 2.1554,                 1.1288,                 1.2649,                0.63332,                0.61329,                0.62353,                0.44056,                0.62519,                0.60231,                0.60487,                0.38314,                 1.1287,                  2.284,                 1.2898,                 1.3341,             0.00080653,             0.00080653,             0.00080653
                     24,                  1.111,                 2.1116,                 1.1505,                 1.2792,                0.72256,                0.59011,                0.64414,                0.44896,                0.69707,                 0.5797,                0.62119,                0.39443,                 1.1408,                 2.2907,                 1.2423,                 1.3282,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0886,                 2.1473,                 1.1534,                 1.2585,                0.66588,                0.61606,                0.63387,                0.43591,                0.65076,                0.60275,                0.61137,                0.38489,                 1.1682,                 2.2674,                 1.3475,                 1.3544,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0756,                 2.1257,                 1.1076,                 1.2515,                0.68041,                0.60214,                0.65059,                0.45923,                0.68652,                0.57754,                0.62908,                0.40615,                 1.1169,                 2.2829,                 1.2097,                 1.3111,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0502,                 2.0539,                 1.0623,                 1.2326,                0.71276,                 0.5915,                0.65643,                0.45962,                 0.6995,                0.57889,                0.62938,                0.40915,                 1.1387,                 2.2358,                 1.2168,                 1.3252,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0483,                 2.0716,                 1.0597,                  1.228,                0.70507,                0.55932,                0.63608,                0.45362,                 0.6621,                0.56696,                0.61416,                0.39754,                 1.1292,                 2.2565,                 1.2111,                 1.3464,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0518,                 2.0405,                 1.0621,                 1.2282,                  0.681,                0.60972,                0.64988,                 0.4627,                 0.6751,                0.58965,                0.63235,                0.41038,                 1.1177,                 2.2041,                 1.2173,                 1.3168,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0487,                 2.0315,                 1.0443,                 1.2335,                0.69316,                 0.6211,                0.67136,                0.48119,                0.70612,                0.58842,                0.64759,                0.42706,                 1.1066,                  2.169,                 1.1346,                 1.3115,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0159,                 1.9792,                 1.0052,                 1.2129,                0.65327,                0.64929,                0.66907,                0.48145,                0.64115,                0.63926,                0.64935,                 0.4211,                 1.0784,                 2.1736,                 1.1277,                 1.2904,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0127,                 1.9647,                0.99179,                 1.2103,                0.70743,                 0.6142,                0.67205,                0.48644,                0.69552,                0.59872,                0.64865,                0.43647,                 1.0805,                 2.1427,                 1.1566,                 1.2777,             0.00055188,             0.00055188,             0.00055188
                     33,                0.99876,                 1.9593,                0.95667,                 1.2021,                 0.6747,                0.63066,                0.66585,                0.47953,                0.66274,                0.61069,                0.63912,                 0.4234,                 1.1048,                 2.1961,                 1.1656,                 1.3008,             0.00052359,             0.00052359,             0.00052359
                     34,                0.99747,                 1.9789,                 0.9753,                 1.2017,                0.70819,                 0.6226,                0.67804,                0.48432,                0.69338,                0.60967,                 0.6535,                 0.4267,                 1.1024,                 2.1672,                 1.1284,                 1.2867,             0.00049529,             0.00049529,             0.00049529
                     35,                0.98556,                 1.9151,                0.92414,                 1.1941,                0.70461,                0.63593,                0.68827,                0.49539,                0.68577,                0.61959,                0.66438,                0.43642,                 1.0733,                 2.1612,                 1.1177,                   1.27,               0.000467,               0.000467,               0.000467
                     36,                0.98702,                 1.9439,                0.95571,                  1.184,                0.71881,                0.62229,                0.66819,                0.48052,                0.70976,                0.60722,                0.64896,                0.42597,                 1.0724,                 2.1652,                 1.1239,                 1.2854,              0.0004387,              0.0004387,              0.0004387
                     37,                 0.9665,                 1.8839,                0.92147,                 1.1791,                0.70141,                0.64641,                0.68337,                0.49423,                0.68617,                0.63072,                0.65821,                0.43005,                 1.0713,                 2.1994,                 1.0868,                 1.2795,             0.00041041,             0.00041041,             0.00041041
                     38,                0.96147,                 1.8904,                0.91826,                 1.1798,                0.73388,                0.63702,                0.69089,                0.50155,                0.72353,                0.61981,                 0.6665,                 0.4423,                 1.0593,                 2.1703,                 1.0867,                 1.2761,             0.00038211,             0.00038211,             0.00038211
                     39,                0.94031,                 1.8589,                0.90404,                 1.1691,                0.70823,                0.65099,                0.67652,                0.49244,                0.72131,                0.61773,                0.65522,                0.43873,                 1.0659,                 2.1904,                 1.1258,                 1.2831,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.9404,                  1.886,                0.88034,                  1.161,                0.68828,                0.65541,                0.68622,                0.49882,                0.67854,                0.64571,                0.66378,                0.44099,                  1.059,                 2.1292,                 1.0731,                 1.2731,             0.00032553,             0.00032553,             0.00032553
                     41,                0.85662,                 1.7834,                0.80346,                 1.1385,                0.71154,                 0.6316,                0.68034,                0.49715,                0.69094,                0.62675,                0.65931,                0.43893,                 1.0505,                 2.1273,                 1.0972,                 1.2742,             0.00029723,             0.00029723,             0.00029723
                     42,                0.84075,                 1.7346,                0.78228,                 1.1297,                0.70308,                0.64517,                0.69129,                0.50325,                0.69027,                0.63057,                0.66514,                0.44566,                 1.0378,                 2.1433,                 1.0536,                 1.2612,             0.00026894,             0.00026894,             0.00026894
                     43,                0.83204,                 1.6968,                 0.7557,                  1.119,                0.71532,                0.65996,                0.70471,                 0.5144,                0.71846,                0.63487,                0.67955,                0.45289,                 1.0256,                 2.0937,                 1.0268,                 1.2568,             0.00024064,             0.00024064,             0.00024064
                     44,                0.81268,                  1.661,                0.74189,                 1.1064,                0.72368,                0.65521,                0.70088,                0.51631,                0.70833,                0.64185,                0.67587,                 0.4589,                 1.0141,                 2.1266,                 1.0281,                 1.2491,             0.00021235,             0.00021235,             0.00021235
                     45,                0.79132,                  1.646,                0.72685,                  1.085,                0.70664,                0.65444,                0.70001,                0.50719,                0.69549,                0.64412,                0.67474,                0.45176,                 1.0352,                 2.1166,                 1.0473,                 1.2669,             0.00018406,             0.00018406,             0.00018406
                     46,                0.78247,                 1.6408,                0.70761,                 1.0824,                0.71439,                0.65918,                0.70028,                0.51077,                0.70162,                0.64861,                0.67536,                0.45321,                  1.032,                 2.1208,                 1.0349,                  1.262,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.7703,                 1.5973,                0.68982,                 1.0801,                0.72087,                0.66133,                 0.7021,                0.51514,                 0.7067,                0.65425,                0.68086,                0.45755,                 1.0156,                 2.0827,                 1.0215,                 1.2552,             0.00012747,             0.00012747,             0.00012747
                     48,                0.76828,                 1.6002,                0.68635,                 1.0719,                0.75298,                0.63956,                0.70797,                0.52307,                0.74139,                0.63077,                0.68502,                0.46331,                 1.0143,                 2.0708,                 1.0174,                 1.2537,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.75626,                 1.5998,                0.68456,                 1.0714,                0.71468,                0.66177,                0.70589,                0.51903,                0.68167,                0.68082,                0.68591,                0.46225,                 1.0011,                 2.0839,                 1.0109,                 1.2409,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.75314,                  1.585,                0.66309,                 1.0622,                0.74274,                0.64543,                 0.7024,                0.51861,                0.72717,                0.63835,                 0.6806,                0.46342,                 1.0061,                 2.0949,                 1.0164,                 1.2458,             4.2584e-05,             4.2584e-05,             4.2584e-05
